Fid,Airline,Flight,DateTime,Lat,Lon,Geoaltitude,Lat2,Lon2,Geoaltitude2,Lat3,Lon3,Geoaltitude3,Lat4,Lon4,Geoaltitude4,Lat5,Lon5,Geoaltitude5,Label
10.42.0.42-103.235.46.212-48455-80-6,SpiceJet,SG-8709,01-12-23 18:02,33.79590051,-84.46495056,518.16,33.79590051,-84.46495056,510.54,33.79590051,-84.46495056,510.54,33.79289246,-84.467543,487.68,33.79203667,-84.46844101,472.44,0
172.217.6.238-10.42.0.151-443-43941-6,SpiceJet,SG-8157,01-12-23 18:02,33.79590051,-84.46495056,510.54,33.79590051,-84.46495056,510.54,33.79289246,-84.467543,487.68,33.79203667,-84.46844101,472.44,33.79203667,-84.46844101,464.82,1
209.85.232.188-10.42.0.211-5228-60326-6,AirAsia,I5-764,01-12-23 18:02,33.79590051,-84.46495056,510.54,33.79289246,-84.467543,487.68,33.79203667,-84.46844101,472.44,33.79203667,-84.46844101,464.82,33.79040734,-84.47055817,449.58,0
172.217.10.238-10.42.0.211-443-60243-6,Vistara,UK-995,01-12-23 18:02,33.79289246,-84.467543,487.68,33.79203667,-84.46844101,472.44,33.79203667,-84.46844101,464.82,33.79040734,-84.47055817,449.58,33.79005432,-84.47113037,441.96,1
10.42.0.211-10.42.0.1-63075-53-17,Vistara,UK-963,01-12-23 18:02,33.79203667,-84.46844101,472.44,33.79203667,-84.46844101,464.82,33.79040734,-84.47055817,449.58,33.79005432,-84.47113037,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.42-106.11.95.7-33590-443-6,Vistara,UK-945,01-12-23 18:02,33.79203667,-84.46844101,464.82,33.79040734,-84.47055817,449.58,33.79005432,-84.47113037,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
180.149.135.239-10.42.0.211-80-38145-6,Vistara,UK-927,01-12-23 18:02,33.79040734,-84.47055817,449.58,33.79005432,-84.47113037,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-31.13.65.7-59439-443-6,Vistara,UK-951,01-12-23 18:02,33.79005432,-84.47113037,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.35.73.148-10.42.0.211-80-49296-6,GO_FIRST,G8-334,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.35.73.78-10.42.0.211-443-45258-6,GO_FIRST,G8-336,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.12.142-10.42.0.151-443-50435-17,GO_FIRST,G8-392,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.10.14-10.42.0.211-443-35219-6,GO_FIRST,G8-338,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
203.205.158.63-10.42.0.211-80-41538-6,Indigo,6E-5001,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.1-10.42.0.42-53-20349-17,Indigo,6E-6202,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-66.198.24.250-34239-80-6,Indigo,6E-549,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
180.149.136.194-10.42.0.211-443-39349-6,Indigo,6E-6278,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.10.74-10.42.0.151-443-55632-6,Air_India,AI-887,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-103.235.46.212-57717-80-6,Air_India,AI-665,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.35.73.110-10.42.0.211-443-44936-6,AirAsia,I5-747,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
